50,118,28,24,242,w
48,64,42,26,166,w
42,42,78,36,90,w
34,42,64,40,238,w
32,44,58,42,186,w
32,42,60,42,144,w
32,42,60,42,104,w
32,56,50,42,64,w
48,124,32,118,46,w
70,300,120,72,36,w
130,40,74,40,36,w
48,164,38,28,52,w
300,86,24,24,92,w
116,38,20,30,142,w
96,36,18,26,152,w
56,30,36,70,48,w
44,36,72,118,96,w
32,38,114,42,214,d
32,48,58,42,288,w
36,54,50,38,242,w
38,58,46,36,198,w
42,62,42,32,154,w
42,50,56,32,100,a
34,40,68,40,74,w
160,30,160,52,52,a
84,190,258,86,48,a
54,130,26,178,54,w
42,70,38,32,76,w
42,50,52,30,118,w
54,58,118,22,60,w
68,56,76,214,24,w
60,56,104,22,42,w
52,44,110,36,48,d
40,44,140,36,138,d
38,56,46,36,104,d
38,56,46,36,94,w
38,56,46,36,92,w
38,56,46,36,104,w
36,50,160,36,126,w
42,44,114,36,164,w
54,46,78,198,56,w
78,50,50,84,32,w
154,74,38,46,64,w
38,122,40,34,268,w
40,56,46,34,300,w
40,56,44,32,300,w
40,46,60,34,158,a
32,36,74,42,186,w
32,44,58,42,212,w
32,44,58,42,172,w
32,44,58,42,134,w
32,46,56,40,92,w
300,34,84,44,58,a
108,46,300,62,44,a
62,300,300,98,40,w
36,96,42,200,46,w
28,44,58,46,72,w
30,34,84,44,126,w
42,46,64,34,170,w
42,60,44,32,170,w
40,58,44,34,208,w
40,56,46,34,246,w
38,128,44,36,284,w
128,86,38,42,86,d
86,52,42,62,38,d
50,36,52,100,146,d
30,28,84,232,100,d
24,34,142,54,48,d
24,42,242,218,36,d
44,90,158,94,30,d
84,132,300,56,34,w
130,46,80,32,40,w
48,62,40,26,64,w
46,66,38,28,110,w
44,90,36,34,160,w
58,84,20,14,190,w
60,106,16,14,238,w
56,100,22,20,264,w
52,74,30,22,240,w
52,64,128,22,276,w
58,52,90,124,64,w
66,44,50,84,36,w
98,48,28,46,178,w
136,58,28,38,138,w
284,64,26,34,130,w
300,86,30,34,110,w
34,144,48,40,74,a
180,34,78,46,46,a
82,300,120,70,40,a
42,300,46,112,34,a
24,50,56,156,42,a
20,26,80,54,80,a
22,30,76,52,128,w
24,32,74,50,170,w
28,36,68,46,216,w
30,38,66,44,258,w
32,42,62,42,300,w
34,46,58,40,300,w
36,46,300,38,300,w
44,40,138,46,78,a
62,44,104,78,40,w
78,38,62,164,38,a
110,38,46,300,42,w
140,34,42,300,46,w
194,34,34,234,48,w
258,44,38,186,44,w
300,52,42,156,40,w
300,58,50,126,36,w
300,66,52,94,32,w
158,80,44,62,38,a
42,202,42,42,114,a
36,76,54,40,68,a
160,34,90,50,46,a
82,212,148,80,42,a
54,132,32,128,48,a
44,68,38,32,72,w
40,62,44,34,104,w
36,66,48,38,136,w
34,138,46,44,112,w
170,90,50,62,38,w
114,60,50,84,28,d
64,42,66,136,38,d
40,34,92,216,182,w
24,28,148,50,114,d
22,34,72,52,58,d
30,68,50,300,38,d
52,136,48,132,34,d
96,186,218,92,42,w
154,30,246,60,48,w
32,32,82,48,68,w
30,38,70,44,98,w
34,42,66,40,130,w
38,46,134,36,158,w
46,40,88,156,72,a
70,48,58,102,34,w
116,60,40,56,44,w
300,96,32,36,128,w
42,154,38,30,82,w
252,44,68,36,50,w
106,64,120,56,40,w
60,300,164,94,40,w
40,90,42,154,50,w
28,52,54,48,66,a
24,34,68,50,108,w
24,30,82,52,158,a
30,34,84,46,206,w
38,48,58,38,228,w
40,52,52,36,258,w
40,54,50,34,298,w
42,48,126,32,300,w
46,38,78,246,100,w
68,42,46,86,38,w
128,60,34,48,60,w
50,102,34,34,178,w
40,174,48,34,300,w
34,42,64,40,266,w
28,34,74,46,224,w
28,42,60,46,154,w
32,48,54,42,128,w
36,54,50,38,94,w
40,60,44,40,60,w
46,114,40,108,38,d
72,300,116,62,30,d
148,48,66,32,32,d
52,144,32,22,50,d
300,80,22,24,98,d
92,36,22,34,152,d
58,26,22,48,56,d
36,26,50,102,110,d
40,40,98,134,290,w
38,48,140,36,258,w
36,46,58,38,226,w
36,56,48,38,226,w
40,64,42,34,182,w
42,52,52,32,124,w
36,46,60,38,96,w
34,40,68,42,66,w
156,42,110,46,38,a
58,192,300,74,28,a
30,88,50,148,28,a
20,30,66,58,44,a
20,22,178,54,92,a
30,32,130,46,148,w
44,44,92,236,84,w
66,48,60,106,32,w
118,64,44,58,42,a
44,102,38,38,120,a
38,156,46,34,300,a
36,46,58,38,300,w
36,54,48,38,300,w
40,60,42,34,300,w
40,54,46,32,254,w
38,52,50,34,220,w
36,48,52,36,184,w
36,48,54,38,144,w
34,44,58,40,108,w
34,42,60,42,70,w
212,36,94,46,42,w
70,246,300,70,32,w
38,136,46,132,32,w
26,46,56,60,46,w
24,32,76,50,84,w
30,38,72,44,134,w
36,44,62,38,182,w
42,52,52,32,224,w
44,70,36,30,212,d
40,144,44,34,240,w
40,102,42,40,128,d
104,66,42,54,50,d
68,48,54,96,32,d
48,44,88,300,104,d
44,56,150,32,66,d
54,86,34,144,44,d
82,126,300,64,38,d
124,40,102,38,44,d
44,56,44,30,68,d
46,86,34,30,112,d
36,102,42,44,154,w
48,68,34,24,206,w
48,68,34,24,220,w
48,68,34,24,248,w
58,44,64,106,44,a
162,68,38,48,132,a
34,118,46,42,88,w
38,166,56,42,64,a
92,144,114,72,42,w
54,270,38,106,42,a
40,58,46,36,70,w
38,56,46,36,78,w
38,56,48,36,100,w
36,52,50,38,128,w
34,50,54,40,162,w
30,44,58,44,196,w
26,32,78,48,300,a
36,44,300,38,250,w
54,44,102,70,50,a
