126,70,166,36,188,18,54,w
106,68,142,36,168,18,54,w
72,42,106,30,136,20,54,w
56,40,74,32,102,28,52,w
42,42,44,44,46,80,78,w
40,42,40,46,42,92,64,w
58,68,50,82,44,46,42,w
70,82,58,102,50,36,38,w
126,150,110,40,92,168,44,a
36,36,42,52,134,86,70,w
54,88,40,298,40,50,104,a
300,124,152,64,78,34,40,w
282,124,152,64,78,34,40,w
244,124,152,64,78,34,40,w
202,124,288,64,78,34,40,w
162,114,230,64,78,34,40,w
120,90,170,62,300,34,40,w
52,42,62,38,84,38,54,a
42,42,44,48,50,134,300,w
42,42,44,48,50,162,300,w
42,42,44,46,48,198,268,w
42,42,44,46,48,238,228,w
42,42,42,46,48,276,186,w
42,46,40,54,40,166,62,a
108,164,84,300,68,32,44,a
30,26,40,26,164,110,70,w
24,24,28,30,44,96,84,w
36,56,28,156,28,64,114,a
96,188,52,240,38,48,46,a
120,158,84,192,58,34,40,w
102,126,80,150,66,26,48,w
64,78,54,102,46,38,44,d
36,38,38,40,38,94,80,d
30,28,36,26,46,40,156,w
54,38,78,32,114,24,52,d
94,64,128,44,166,24,52,w
110,78,142,56,180,28,48,w
134,104,164,76,66,34,44,w
170,142,56,108,42,44,54,w
44,50,46,88,54,72,88,d
164,80,226,54,114,206,32,d
164,124,188,78,66,40,34,w
126,100,148,74,168,40,34,w
60,50,70,44,86,40,46,a
40,44,38,52,36,126,52,a
70,88,56,108,44,40,34,w
92,118,68,142,46,48,28,w
162,70,140,54,110,162,32,a
80,166,58,300,56,38,106,a
300,116,164,60,86,30,44,w
288,116,164,60,86,30,44,w
248,116,164,60,86,30,44,w
206,116,240,60,86,30,44,w
166,114,196,60,86,30,44,w
126,94,152,60,174,30,44,w
36,36,38,38,42,64,88,a
50,58,44,70,40,300,44,a
84,100,68,118,58,32,42,w
106,130,82,148,64,36,38,w
134,168,94,96,58,40,34,w
76,44,224,32,180,26,52,w
218,76,176,42,106,24,50,w
194,220,140,52,86,22,52,w
202,230,138,56,84,24,50,w
218,154,132,60,80,26,48,w
240,180,120,70,74,30,44,w
118,300,68,170,50,38,128,d
144,40,128,40,112,104,52,d
72,88,62,104,52,36,38,d
48,52,46,56,46,102,60,d
52,52,52,54,54,88,78,w
50,50,52,52,56,74,88,d
50,50,52,52,54,76,84,a
54,54,52,56,54,90,78,a
52,54,52,60,52,130,72,a
36,36,40,36,46,64,92,d
50,42,66,36,80,32,142,d
76,60,96,46,116,30,44,w
110,90,128,68,142,30,44,w
130,108,148,84,58,36,38,w
148,116,166,78,68,38,36,w
190,144,118,80,66,38,36,w
230,170,110,84,62,40,34,w
258,138,138,76,68,42,32,a
74,46,222,36,300,174,48,a
48,98,34,178,32,56,140,a
156,134,68,104,52,34,42,w
106,80,132,58,152,26,46,a
44,38,52,36,64,38,192,a
42,48,40,56,36,152,46,a
108,130,88,148,64,38,34,w
130,154,104,68,74,38,36,w
162,186,126,68,76,36,36,w
206,114,152,64,80,34,38,w
248,110,170,62,82,34,40,w
290,104,178,58,86,32,42,w
300,100,184,56,88,30,42,w
300,96,188,54,90,30,44,w
104,52,300,36,164,44,48,a
28,42,26,144,30,70,106,a
260,186,90,98,46,50,24,w
236,186,90,98,46,50,24,w
204,242,90,98,46,50,24,w
164,198,90,98,46,50,24,w
118,152,72,174,42,50,24,w
52,58,46,66,44,112,54,d
52,50,56,50,62,60,174,d
66,58,74,54,84,52,30,a
52,52,56,50,62,62,128,w
54,50,60,48,66,56,138,w
56,50,66,44,76,42,180,d
92,76,108,60,126,34,300,d
48,138,44,122,60,54,80,d
92,50,300,38,192,106,46,w
140,64,300,44,136,122,42,w
